"CYCLE_DAY.YEAR_ID","CYCLE_DAY.SCHOOLID","CYCLE_DAY.LETTER","CYCLE_DAY.DAY_NUMBER","CYCLE_DAY.DAY_NAME","CYCLE_DAY.DATE_VALUE"
"31","3","H","8","B4","2022-05-19"
"31","3","A","1","A1","2022-05-20"
"31","3","B","2","B1","2022-05-23"
"31","3","C","3","A2","2022-05-24"
"31","3","D","4","B2","2022-05-25"
"31","3","E","5","A3","2022-05-26"
"31","3","F","6","B3","2022-05-27"
"31","3","G","7","A4","2022-05-30"
"31","3","H","8","B4","2022-05-31"
"31","3","A","1","A1","2022-06-01"
"31","3","B","2","B1","2022-06-02"
"31","3","C","3","A2","2022-06-06"
"31","3","D","4","B2","2022-06-07"
"31","3","E","5","A3","2022-06-08"
"31","3","F","6","B3","2022-06-09"
"31","3","G","7","A4","2022-06-10"
"31","3","H","8","B4","2022-06-13"
"31","3","A","1","A1","2022-06-14"
"31","3","B","2","B1","2022-06-15"
"31","3","C","3","A2","2022-06-16"
"31","3","D","4","B2","2022-06-17"
"31","3","E","5","A3","2022-06-20"
"31","3","F","6","B3","2022-06-21"
"31","3","G","7","A4","2022-06-22"
"31","3","H","8","B4","2022-06-23"
"31","3","A","1","A1","2022-06-24"
